timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
11:40:42,15,41.5131378,36.1188736,-6.45,5.0,74.0,0.0,225.0
11:40:43,15,41.5131378,36.1188736,-6.47,4.0,71.0,-4.0,337.0
11:40:45,15,41.5131378,36.1188736,-6.48,-2.0,63.0,-12.0,404.0
11:40:47,15,41.5131378,36.1188736,-6.48,-9.0,64.0,-3.0,237.0
11:40:50,15,41.5131378,36.1188736,-6.59,-8.0,57.0,-16.0,972.0
11:40:51,15,41.5131378,36.1188736,-6.59,-6.0,57.0,-15.0,430.0
11:40:53,15,41.5131378,36.1188736,-6.51,-6.0,59.0,-9.0,284.0
11:40:55,15,41.5131378,36.1188736,-6.51,-8.0,58.0,-5.0,300.0
11:40:56,15,41.5131378,36.1188736,-6.52,-7.0,58.0,-4.0,468.0
11:40:57,15,41.5131378,36.1188736,-6.53,-7.0,58.0,-5.0,593.0
11:40:58,15,41.5131378,36.1188736,-6.5,-6.0,60.0,-1.0,258.0
11:40:59,15,41.51314,36.1188736,-6.49,-8.0,65.0,4.0,391.0
11:41:0,15,41.51314,36.1188736,-6.47,-4.0,78.0,7.0,593.0
11:41:1,15,41.51314,36.1188774,-6.51,-2.0,59.0,5.0,395.0
11:42:25,15,41.51312,36.118927,-5.86,-3.0,48.0,7.0,441.0
11:42:26,15,41.5131149,36.11893,-5.88,-3.0,37.0,8.0,522.0
11:42:27,15,41.51311,36.11894,-5.92,-1.0,36.0,7.0,251.0
11:42:27,15,41.5131073,36.1189423,-5.91,-2.0,43.0,12.0,337.0
11:42:28,15,41.5131035,36.11895,-5.93,-4.0,32.0,6.0,258.0
11:42:29,15,41.5131,36.1189575,-5.88,-4.0,33.0,9.0,471.0
11:42:30,15,41.5131,36.1189651,-5.88,-5.0,20.0,5.0,559.0
11:42:32,15,41.5130959,36.1189728,-5.92,-4.0,19.0,7.0,480.0
11:42:33,15,41.5130959,36.1189766,-5.9,-3.0,26.0,15.0,459.0
11:42:33,15,41.5130959,36.11898,-5.85,-5.0,20.0,16.0,593.0
11:42:34,15,41.5130959,36.11898,-5.83,-5.0,20.0,14.0,702.0
11:42:35,15,41.5130959,36.11898,-5.82,-5.0,22.0,10.0,481.0
11:42:36,15,41.5130959,36.11898,-5.81,0.0,29.0,14.0,324.0
