sent_time,iha_enlem_meters,iha_boylam_meters,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:10:37.413000,1260.950468149178,1667.267126467404,50.567,1.250279,184.0,44.7821
14:10:38.571000,1243.6818960417497,1659.1556470774638,49.057,-0.885572553,218.0,44.5085449
14:10:39.621000,1229.2599140553702,1639.7847014260597,48.412,1.87391233,247.0,46.0888443
14:10:40.620000,1225.868468792741,1624.2113272329195,48.318,0.718751848,281.0,42.6796341
14:10:40.678000,1228.4148326133497,1610.636674860279,48.83,1.240687,302.0,33.08658
14:10:41.757000,1236.487584287552,1595.6462611952406,50.498,0.75966996,324.0,17.14016
14:10:42.838000,1244.2712291523255,1586.4854528432963,51.881,-0.171096236,328.0,10.7089434
14:10:43.917000,1255.3907218176012,1575.2926106381417,52.808,-2.76751733,337.0,3.112417
14:10:44.878000,1264.886768551974,1567.6641556819911,54.031,-4.225634,337.0,0.9324334
14:10:45.942000,1273.7934821764786,1560.0440287333465,54.816,-6.27053547,340.0,-8.598928
14:10:47.002000,1284.3014027449128,1549.8422194296672,54.371,-7.08961248,336.0,-15.3405285
14:10:47.077000,1291.6180289179133,1540.339962763579,54.592,-5.20350552,327.0,-11.8177786
14:10:48.139000,1297.9783787218087,1530.179793496549,53.522,-5.94446135,322.0,33.39959
14:10:49.218000,1306.8850923463133,1521.5269936037146,51.04,-6.99841166,344.0,35.927784
14:10:50.192000,1318.771830004509,1519.0285913242963,49.571,-2.34951687,4.0,24.237484
14:10:51.267000,1330.21378795649,1520.9606890871144,48.893,-1.86524594,23.0,14.3848667
14:10:52.344000,1343.234713866135,1527.35659892165,49.984,-2.15555358,30.0,8.113597
14:10:53.111000,1353.5424835659594,1533.6692286790642,51.534,-2.32028413,33.0,1.12137616
14:10:54.083000,1359.9139528629878,1538.1830087965448,52.491,-4.524372,35.0,-1.26813686
14:10:55.822000,1368.8095469943594,1543.837725953778,53.36,-6.115587,39.0,-3.68112326
14:10:56.892000,1375.4812425925345,1547.968417720765,54.316,-6.491761,33.0,-5.62117624
14:10:57.963000,1382.8089882586676,1551.7826451994606,55.116,-8.144598,28.0,-5.21309
14:10:58.990000,1393.2724308559852,1556.5046255059628,56.138,-9.30167,26.0,-3.72920346
14:11:00.009000,1403.5913200489422,1560.3604930220215,55.937,-11.2334089,26.0,-3.05278
14:10:59.162000,1417.7353147176113,1565.440577654488,54.117,-6.911055,32.0,34.05526
14:11:00.225000,1425.518959583092,1572.7442403141774,51.913,-7.972097,51.0,29.6131077
14:11:01.294000,1429.4663794790208,1583.5456661631456,50.786,-5.79668951,68.0,23.6318321
14:11:02.261000,1430.745121135538,1594.8134604353736,49.943,-6.245718,78.0,19.7639618
14:11:03.323000,1427.7428581155814,1609.5956739109624,49.522,-5.426355,86.0,12.3414831
14:11:04.396000,1423.951111117146,1620.0806354678075,49.419,-6.21644974,95.0,6.174925
14:11:05.470000,1419.2920436904244,1630.8820613128273,50.496,-5.99038,95.0,1.39342642
14:11:06.546000,1414.6218567719848,1642.2831037026497,50.101,-7.37288761,99.0,-1.3038944
14:11:07.514000,1406.9938848039976,1660.1133679501647,48.509,-6.156163,96.0,-7.551124
14:11:08.589000,1402.7462386062145,1673.0967317787963,48.272,-5.352207,92.0,-6.787449
14:11:09.657000,1397.7202279216713,1689.977603156842,48.265,-5.003143,90.0,-5.325857
14:11:10.603000,1393.8395249824173,1702.044886148582,47.775,-1.96169651,89.0,40.5830269
14:11:11.759000,1386.2004335220047,1713.0711681906732,46.768,-3.238741,119.0,43.8185921
14:11:13.697000,1350.1510383033296,1724.2889944063063,46.011,-0.60728997,171.0,34.7371826
14:11:14.810000,1330.636328677854,1720.566375016374,46.249,-1.37561953,191.0,21.50924
14:11:15.750000,1311.5441597723275,1713.0711681906732,46.903,-0.635899365,201.0,9.51469
14:11:15.875000,1288.215464162151,1702.2447583305686,47.491,-2.16524053,204.0,-0.344282031
14:11:16.047000,1288.215464162151,1702.2447583305686,47.491,-2.16524053,204.0,-0.344282031
14:11:18.009000,1255.9800549281767,1686.1633756822605,48.344,-1.14387465,213.0,43.7206879
14:11:19.080000,1244.9495182051344,1674.4042289704755,47.978,-1.40605652,239.0,45.8138161
14:11:19.153000,1239.0117091226027,1653.4426338718008,48.233,-0.9192438,278.0,39.1652832
14:11:20.118000,1240.9353813525308,1638.951900667539,48.758,-0.4720839,294.0,29.5757065
14:11:21.167000,1245.8057191395803,1626.4598892821812,48.787,-2.31343722,307.0,20.5755348
14:11:22.287000,1253.433691108275,1613.967877896659,49.007,-2.26568079,316.0,8.613407
14:11:23.337000,1264.2863159482656,1598.144663472691,49.166,-2.68147659,323.0,-1.01121521
14:11:24.378000,1272.5258600130942,1587.3182536021573,49.188,-2.35774064,322.0,-4.630015
14:11:25.426000,1279.3087505383535,1576.242003503525,49.123,-2.41810822,318.0,-7.072622
14:11:26.498000,1285.669100342249,1564.8326330999369,48.901,-2.34374237,316.0,-6.50243
14:11:27.575000,1292.4631103599338,1549.5590671716916,48.389,-2.931032,310.0,-9.150363
14:11:28.549000,1297.1221777866554,1537.1669918694358,49.207,-1.950458,306.0,-6.762006
14:11:30.810000,1314.3240329388234,1516.197068741748,51.303,-2.860056,345.0,35.5599022
14:11:30.962000,1327.2448834145168,1514.6147472978478,52.018,-4.112271,9.0,27.6431274
14:11:31.039000,1327.2448834145168,1514.6147472978478,52.018,-4.112271,9.0,27.6431274
14:11:31.102000,1339.1205015802873,1517.1547896149673,51.232,-3.94282913,20.0,21.5356674
14:11:34.047000,1354.354206530703,1526.5237981613545,50.176,-3.38872,36.0,2.921464
14:11:34.215000,1363.7279388462741,1533.3527643903265,50.151,-3.6032176,38.0,-3.15709066
14:11:35.185000,1373.4797339135064,1540.6814110745506,49.783,-4.27803946,34.0,-5.670636
14:11:36.258000,1383.6540697021028,1547.968417720765,48.974,-4.39889526,34.0,-6.66748571
14:11:37.227000,1394.684606424438,1554.0062232271923,48.963,-2.50338268,27.0,-6.490606
14:11:38.274000,1406.137683868844,1558.7698435712239,49.655,-2.43558145,25.0,-5.369691
14:11:39.345000,1416.3231391491588,1562.9005353388084,49.928,-2.08230615,23.0,32.26122
14:11:40.417000,1423.951111117146,1568.613548547959,49.349,-4.477359,37.0,34.1524544
14:11:41.981000,1428.8548073828867,1576.874932080796,48.942,-1.7022059,52.0,31.0487175
14:11:42.130000,1431.5902025782661,1588.6340788021316,49.059,-1.64208639,70.0,27.9897022
14:11:43.710000,1424.8073120530066,1620.397099756337,50.868,-3.47080874,93.0,6.772178
14:11:44.769000,1419.7145844124957,1634.7878968722032,51.226,-4.576657,96.0,0.184123173
14:11:45.724000,1414.399466919231,1648.3542212353882,51.33,-4.75183868,99.0,-0.181133687
14:11:46.797000,1409.9516698535454,1660.6047203978908,51.699,-5.324086,98.0,-0.07839694
14:11:47.868000,1404.013860769599,1677.2607355723294,52.595,-6.15702724,97.0,-2.298484
14:11:48.810000,1400.1998747863124,1689.7527469520842,52.477,-6.218562,95.0,-4.57053137
14:11:49.966000,1396.385888802319,1702.2447583305686,52.137,-3.65424,95.0,40.80798
14:11:50.119000,1387.712684523701,1714.436961434293,51.242,-4.060408,117.0,43.3858376
14:11:51.177000,1365.8406424530936,1724.7303788082882,50.435,-3.45960975,149.0,43.27534
14:11:52.241000,1345.9033921055466,1724.921922982832,49.668,-0.837151,170.0,30.812376
14:11:53.316000,1327.2448834145168,1720.566375016374,48.674,-1.89564157,188.0,20.18819
14:11:54.292000,1306.0400109042928,1712.238367432116,48.089,-2.070434,198.0,5.7975173
