timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
14:4:45,3,41.5133,36.1187,0.89,4.729,-170.5155,0.4942,1577.0
14:4:46,3,41.5133,36.1187,0.84,4.7005,-170.5271,0.4587,1475.0
14:4:47,3,41.5133,36.1187,0.79,4.679,-170.5258,0.5022,1386.0
14:4:48,3,41.5133,36.1187,0.78,4.6794,-170.5468,0.5028,1409.0
14:4:49,3,41.5133,36.1187,0.79,4.6943,-170.548,0.4664,1379.0
14:4:50,3,41.5133,36.1187,0.62,4.7009,-170.562,0.4382,1293.0
14:4:51,3,41.5133,36.1187,0.68,4.7107,-170.5651,0.4627,1196.0
14:4:52,3,41.5133,36.1187,0.71,4.6985,-170.5677,0.4829,1204.0
14:4:53,3,41.5133,36.1187,0.74,4.6876,-170.5712,0.4789,1199.0
14:4:54,3,41.5133,36.1187,0.74,4.6756,-170.5881,0.4498,1073.0
14:4:55,3,41.5133,36.1187,0.77,4.6695,-170.6028,0.5127,1141.0
14:4:56,3,41.5133,36.1187,0.75,4.6917,-170.6109,0.5915,1111.0
14:4:57,3,41.5133,36.1187,0.72,4.7134,-170.6179,0.6703,1412.0
14:4:58,3,41.5133,36.1187,0.78,4.7641,-170.637,0.6481,974.0
14:4:59,3,41.5133,36.1187,0.8,4.732,-170.6385,0.5207,874.0
14:5:0,3,41.5133,36.1187,0.8,4.732,-170.6385,0.5207,1801.0
14:5:1,3,41.5133,36.1187,0.8,4.7468,-170.6416,0.5061,1770.0
14:5:2,3,41.5133,36.1187,0.79,4.7466,-170.6437,0.5887,1782.0
14:5:3,3,41.5133,36.1187,0.8,4.6996,-170.6613,0.5627,1726.0
14:5:4,3,41.5133,36.1187,0.82,4.6968,-170.6801,0.3488,1733.0
14:5:5,3,41.5133,36.1187,0.83,4.6978,-170.6997,0.4413,1663.0
14:5:6,3,41.5133,36.1187,0.85,4.7133,-170.7084,0.4681,1507.0
14:5:7,3,41.5133,36.1187,0.71,4.7081,-170.7153,0.4739,1605.0
14:5:8,3,41.5133,36.1187,0.68,4.6965,-170.7137,0.4219,1501.0
14:5:9,3,41.5133,36.1187,0.68,4.6818,-170.7252,0.4244,1468.0
14:5:10,3,41.5133,36.1187,0.66,4.6732,-170.7488,0.4279,1426.0
14:5:11,3,41.5133,36.1187,0.63,4.6815,-170.7666,0.4567,1671.0
14:5:12,3,41.5133,36.1187,0.61,4.686,-170.7783,0.4648,1411.0
14:5:13,3,41.5133,36.1187,0.56,4.7097,-170.7823,0.494,1368.0
14:5:14,3,41.5133,36.1187,0.57,4.7117,-170.7845,0.5534,1342.0
14:5:15,3,41.5133,36.1187,0.59,4.7112,-170.7867,0.5714,1351.0
14:5:16,3,41.5133,36.1187,0.61,4.6939,-170.781,0.5479,1205.0
14:5:17,3,41.5133,36.1187,0.6,4.6697,-170.7885,0.5263,1229.0
14:5:18,3,41.5133,36.1187,0.61,4.6628,-170.7923,0.5079,1059.0
14:5:19,3,41.5133,36.1187,0.57,4.6641,-170.8061,0.4861,1060.0
14:5:20,3,41.5133,36.1187,0.6,4.7007,-170.8106,0.4733,1037.0
14:5:20,3,41.5133,36.1187,0.63,4.7051,-170.8248,0.4957,896.0
14:5:21,3,41.5133,36.1187,0.63,4.7261,-170.8411,0.4778,964.0
14:5:22,3,41.5133,36.1187,0.63,4.7261,-170.8411,0.4778,1786.0
14:5:23,3,41.5133,36.1187,0.6,4.7505,-170.8486,0.5267,1834.0
14:5:24,3,41.5133,36.1187,0.43,4.7334,-170.867,0.5808,1762.0
14:5:25,3,41.5133,36.1187,0.46,4.7196,-170.8866,0.5828,1763.0
14:5:27,3,41.5133,36.1187,0.59,4.6863,-170.8962,0.56,1509.0
14:5:28,3,41.5133,36.1187,0.63,4.7039,-170.9004,0.554,1464.0
14:5:29,3,41.5133,36.1187,0.66,4.677,-170.8938,0.519,1348.0
14:5:30,3,41.5133,36.1187,0.32,4.6938,-170.8824,0.5365,1624.0
14:5:31,3,41.5133,36.1187,0.26,4.6901,-170.8698,0.5597,1530.0
14:5:32,3,41.5133,36.1187,0.3,4.6668,-170.8804,0.5392,1553.0
14:5:33,3,41.5133,36.1187,0.32,4.6816,-170.886,0.5135,1424.0
14:5:34,3,41.5133,36.1187,0.31,4.6895,-170.8833,0.5267,1512.0
