timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
14:4:45,9,41.51324,36.1187477,0.0,2.0,24.0,2.0,884.0
14:4:46,9,41.51324,36.1187477,0.0,2.0,25.0,2.0,784.0
14:4:47,9,41.51324,36.1187477,0.0,2.0,25.0,2.0,1739.0
14:4:48,9,41.51324,36.1187477,0.0,2.0,26.0,1.0,777.0
14:4:49,9,41.51324,36.1187439,0.0,2.0,25.0,2.0,693.0
14:4:50,9,41.5132446,36.11874,0.0,2.0,18.0,1.0,625.0
14:4:51,9,41.5132446,36.11874,0.0,2.0,18.0,1.0,1543.0
14:4:52,9,41.51324,36.1187248,0.0,2.0,1.0,1.0,1466.0
14:4:53,9,41.513237,36.1187057,0.0,3.0,335.0,1.0,498.0
14:4:54,9,41.513237,36.1187057,0.0,3.0,335.0,1.0,1425.0
14:4:55,9,41.513237,36.1187057,0.0,1.0,335.0,2.0,1442.0
14:4:56,9,41.513237,36.1187057,0.0,0.0,336.0,2.0,1368.0
14:4:57,9,41.513237,36.1187057,0.0,0.0,338.0,2.0,1730.0
14:4:58,9,41.513237,36.1187057,0.0,0.0,341.0,2.0,1290.0
14:4:59,9,41.513237,36.1187057,0.0,0.0,342.0,2.0,1223.0
14:5:0,9,41.513237,36.1187057,0.0,0.0,344.0,2.0,1149.0
14:5:1,9,41.513237,36.1187057,0.0,0.0,346.0,2.0,1069.0
14:5:2,9,41.513237,36.1187057,0.0,0.0,347.0,1.0,1103.0
14:5:3,9,41.513237,36.11871,0.0,0.0,346.0,1.0,1053.0
14:5:4,9,41.513237,36.11871,0.0,0.0,345.0,1.0,994.0
14:5:5,9,41.51324,36.11871,0.0,-3.0,344.0,4.0,928.0
14:5:6,9,41.513237,36.1187134,0.0,-29.0,289.0,30.0,847.0
14:5:7,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,873.0
14:5:8,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,1819.0
14:5:9,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,2758.0
14:5:10,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,3688.0
14:5:11,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,4922.0
14:5:12,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,5742.0
14:5:13,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,6669.0
14:5:14,9,41.5132332,36.11872,0.0,-32.0,290.0,46.0,7602.0
