timestamp,takim_numarasi,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis,zaman_farki
14:5:38,15,41.51343,36.11849,-2.81,-3.0,-72.0,0.0,107864.0
14:5:39,15,41.5134239,36.1185074,1.06,-2.0,-75.0,1.0,638.0
14:5:40,15,41.5134239,36.1185074,1.06,-4.0,-74.0,0.0,515.0
14:5:40,15,41.5134239,36.1185074,1.06,-6.0,-74.0,0.0,509.0
14:5:41,15,41.51342,36.1185074,1.01,-4.0,-74.0,0.0,328.0
14:5:42,15,41.51342,36.1185074,1.01,-5.0,-73.0,0.0,351.0
14:5:43,15,41.51342,36.1185036,0.99,-2.0,-72.0,0.0,725.0
14:5:44,15,41.51342,36.1185036,0.99,0.0,-69.0,2.0,730.0
14:5:45,15,41.5134163,36.1184959,2.12,-11.0,-16.0,6.0,926.0
14:5:46,15,41.5134163,36.1184959,2.12,-17.0,-27.0,5.0,363.0
14:5:47,15,41.5134125,36.1184959,2.19,-28.0,-50.0,13.0,259.0
14:5:48,15,41.51341,36.1184921,2.25,-34.0,-55.0,11.0,257.0
14:5:49,15,41.51341,36.1184921,2.25,-35.0,-52.0,10.0,660.0
14:5:50,15,41.51341,36.1184921,2.25,-32.0,-50.0,9.0,665.0
14:5:51,15,41.51341,36.1184921,2.19,-24.0,-45.0,7.0,761.0
14:5:52,15,41.51341,36.1184921,2.19,-23.0,-41.0,3.0,237.0
14:5:53,15,41.51341,36.11849,2.22,-25.0,-36.0,3.0,491.0
14:5:54,15,41.51341,36.11849,2.22,-17.0,-27.0,7.0,659.0
14:5:55,15,41.51341,36.11849,2.22,-16.0,-15.0,6.0,490.0
14:5:56,15,41.51341,36.1184921,2.15,-11.0,-26.0,2.0,396.0
14:5:57,15,41.51341,36.1184921,2.14,-9.0,-45.0,0.0,548.0
14:5:58,15,41.51341,36.1184921,2.14,-8.0,-43.0,0.0,221.0
14:5:59,15,41.51341,36.1184921,2.15,-9.0,-41.0,0.0,434.0
14:6:0,15,41.5134125,36.1184921,2.15,-8.0,-45.0,1.0,559.0
14:6:1,15,41.5134125,36.1184959,2.19,-8.0,-46.0,1.0,314.0
14:6:2,15,41.5134125,36.1184959,2.2,-8.0,-46.0,1.0,309.0
14:6:3,15,41.5134125,36.1184959,2.21,-8.0,-46.0,1.0,290.0
14:6:4,15,41.5134125,36.1184959,2.21,-9.0,-46.0,1.0,350.0
14:6:5,15,41.5134125,36.1184959,2.21,-9.0,-46.0,1.0,441.0
14:6:6,15,41.5134125,36.1184959,2.22,-8.0,-48.0,1.0,509.0
14:6:6,15,41.5134125,36.1184959,2.18,-6.0,-47.0,0.0,452.0
14:6:7,15,41.5134125,36.1184959,2.15,-4.0,-46.0,-2.0,330.0
14:6:8,15,41.51341,36.1184959,2.15,-7.0,-46.0,-3.0,396.0
14:6:9,15,41.51341,36.1184959,2.15,-6.0,-46.0,-4.0,501.0
14:6:10,15,41.51341,36.1184959,2.17,-8.0,-49.0,-5.0,505.0
14:6:11,15,41.51341,36.1184959,2.19,-4.0,-52.0,-6.0,290.0
14:6:12,15,41.51341,36.1184959,2.22,-5.0,-52.0,-6.0,364.0
14:6:13,15,41.51341,36.1184959,2.19,-12.0,-36.0,-2.0,531.0
14:6:14,15,41.51341,36.1184959,2.17,-12.0,-4.0,0.0,620.0
14:6:15,15,41.5134,36.1184921,2.24,-24.0,41.0,19.0,322.0
14:6:16,15,41.5134,36.11849,2.27,-24.0,93.0,7.0,459.0
14:6:17,15,41.5133934,36.1184845,2.27,-15.0,99.0,5.0,388.0
14:6:18,15,41.51338,36.1184845,2.32,-11.0,80.0,2.0,431.0
14:6:19,15,41.5133667,36.1184845,2.4,-10.0,75.0,3.0,340.0
14:6:20,15,41.51335,36.1184921,2.41,-8.0,67.0,0.0,369.0
14:6:21,15,41.51334,36.1184959,2.47,-1.0,75.0,-1.0,541.0
14:6:22,15,41.5133324,36.1185,2.45,-5.0,64.0,1.0,232.0
14:6:22,15,41.51332,36.1185074,2.51,-5.0,72.0,0.0,317.0
14:6:23,15,41.5133171,36.11851,2.58,-9.0,52.0,1.0,734.0
14:6:24,15,41.51331,36.118515,2.59,-4.0,55.0,5.0,225.0
14:6:25,15,41.5133,36.11852,2.55,3.0,61.0,4.0,324.0
14:6:26,15,41.51329,36.1185226,2.54,2.0,66.0,3.0,393.0
14:6:27,15,41.5132828,36.1185265,2.55,-2.0,70.0,9.0,479.0
14:6:28,15,41.5132751,36.11853,2.56,-2.0,73.0,5.0,261.0
14:6:29,15,41.5132675,36.11853,2.53,-5.0,68.0,2.0,273.0
14:6:30,15,41.5132561,36.1185379,2.55,-4.0,62.0,-3.0,278.0
14:6:31,15,41.51325,36.11854,2.49,-2.0,70.0,-1.0,369.0
14:6:32,15,41.5132446,36.11854,2.47,-1.0,76.0,-7.0,455.0
14:6:33,15,41.513237,36.11854,2.41,0.0,78.0,7.0,506.0
14:6:34,15,41.51323,36.11854,2.39,3.0,82.0,8.0,559.0
14:6:35,15,41.51322,36.11854,2.34,2.0,91.0,3.0,505.0
14:6:36,15,41.5132141,36.1185455,2.33,0.0,90.0,0.0,457.0
14:6:37,15,41.5132027,36.1185455,2.29,-1.0,87.0,-2.0,466.0
14:6:38,15,41.513195,36.1185455,2.32,-6.0,92.0,8.0,533.0
14:6:39,15,41.51319,36.1185455,2.26,-3.0,80.0,0.0,721.0
14:6:40,15,41.5131836,36.1185455,2.18,-2.0,74.0,-2.0,262.0
14:6:41,15,41.51318,36.11855,2.17,-5.0,79.0,-3.0,716.0
14:6:42,15,41.513176,36.11855,2.18,-5.0,76.0,2.0,940.0
14:6:43,15,41.5131721,36.1185532,2.16,-14.0,67.0,-2.0,585.0
14:6:44,15,41.5131721,36.1185532,2.15,-6.0,53.0,-1.0,557.0
14:6:45,15,41.51317,36.1185532,2.27,-10.0,51.0,1.0,398.0
14:6:46,15,41.51317,36.1185532,2.33,-9.0,42.0,1.0,850.0
14:6:47,15,41.51317,36.1185532,2.37,-7.0,40.0,-1.0,583.0
14:6:48,15,41.51317,36.1185532,2.38,-6.0,41.0,-3.0,311.0
14:6:49,15,41.51317,36.1185532,2.41,-2.0,48.0,0.0,399.0
14:6:49,15,41.51317,36.1185532,2.48,-8.0,47.0,-1.0,436.0
14:6:51,15,41.51317,36.1185532,2.5,-6.0,45.0,-2.0,324.0
14:6:51,15,41.51317,36.1185532,2.51,-6.0,45.0,-11.0,364.0
14:6:52,15,41.51317,36.1185532,2.51,-5.0,46.0,-11.0,881.0
14:6:53,15,41.51317,36.1185532,2.5,-9.0,45.0,0.0,908.0
14:6:55,15,41.51317,36.1185532,2.54,-8.0,61.0,0.0,563.0
14:6:56,15,41.51317,36.1185532,2.54,-8.0,49.0,4.0,635.0
14:6:57,15,41.5131645,36.1185532,2.51,-2.0,57.0,5.0,599.0
14:6:58,15,41.5131645,36.1185532,2.42,3.0,65.0,-1.0,622.0
14:6:59,15,41.5131645,36.1185532,2.29,5.0,66.0,3.0,488.0
14:7:0,15,41.5131645,36.1185532,2.29,4.0,65.0,6.0,532.0
14:7:1,15,41.5131645,36.1185532,2.3,3.0,64.0,6.0,485.0
14:7:2,15,41.5131645,36.1185532,2.29,3.0,63.0,6.0,572.0
14:7:3,15,41.5131645,36.1185532,2.32,1.0,61.0,3.0,406.0
14:7:4,15,41.5131645,36.1185532,2.32,0.0,55.0,3.0,482.0
14:7:5,15,41.51316,36.1185532,2.29,1.0,55.0,2.0,647.0
14:7:6,15,41.51316,36.1185532,2.29,1.0,54.0,3.0,393.0
14:7:7,15,41.51316,36.1185532,2.31,2.0,56.0,5.0,333.0
14:7:8,15,41.51316,36.1185532,2.33,2.0,55.0,3.0,265.0
14:7:9,15,41.51316,36.1185532,2.33,2.0,55.0,3.0,787.0
14:7:10,15,41.51316,36.1185532,2.34,3.0,54.0,4.0,246.0
14:7:11,15,41.51316,36.1185532,2.37,3.0,56.0,4.0,333.0
14:7:12,15,41.51316,36.1185532,2.37,3.0,57.0,5.0,321.0
14:7:13,15,41.51316,36.1185532,2.38,4.0,56.0,6.0,289.0
14:7:14,15,41.51316,36.1185532,2.35,3.0,57.0,6.0,337.0
14:7:14,15,41.51316,36.1185532,2.34,3.0,58.0,5.0,264.0
14:7:15,15,41.51316,36.1185532,2.35,2.0,59.0,4.0,646.0
14:7:16,15,41.5131569,36.1185532,2.39,2.0,62.0,1.0,481.0
14:7:17,15,41.5131569,36.1185532,2.59,-2.0,58.0,2.0,456.0
14:7:18,15,41.5131569,36.1185532,2.51,-4.0,56.0,-3.0,256.0
14:7:19,15,41.5131569,36.1185532,2.5,-3.0,65.0,-2.0,358.0
14:7:20,15,41.51316,36.1185532,2.49,-6.0,69.0,-4.0,353.0
14:7:21,15,41.51316,36.1185532,2.45,-2.0,73.0,1.0,226.0
14:7:22,15,41.51316,36.1185532,2.45,-3.0,76.0,0.0,644.0
14:7:23,15,41.51316,36.1185532,2.43,-3.0,74.0,-1.0,601.0
